model_number,star_age,star_mass,log_L,log_Teff,log_R,he_core_mass,c_core_mass,o_core_mass,si_core_mass,fe_core_mass,center_h1,center_he4
1000.0,7097196.867839671,25.0,5.452311290997793,3.665128703997735,2.9191570739560535,9.08282235320759,6.550006125349789,6.5933402835412735,2.5180225741718347,1.5190426509360684,1.9816610455008026e-31,0.0007101711478353991
1010.0,7097196.867843871,25.0,5.450529367133239,3.664688158617606,2.9191472027840333,9.082822249466858,6.550006125349789,6.5933402835412735,2.5180225741718347,1.5190426509360684,3.259851954055535e-31,0.0006665324897371252
1020.0,7097196.867850845,25.0,5.448541814706762,3.664198001471489,2.9191337408630296,9.082822076477093,6.550006125349789,6.5933402835412735,2.5180225741718347,1.5190426509360684,2.262059548089148e-31,0.0006169488703649203
1030.0,7097196.867856819,25.0,5.446020014161185,3.6635738935579827,2.919121056417253,9.082821929169482,6.550006125349789,6.5933402835412735,2.5180225741718347,1.5190426509360684,3.2021177997225705e-31,0.0005971298454202273
1040.0,7097196.867861533,25.0,5.444250268397425,3.663135922561966,2.9191121255274073,9.082821815181815,6.550006125349789,6.5933402835412735,2.5180225741718347,1.5361000872169626,3.2822814963856255e-31,0.0005826187291152264
1050.0,7097196.867868783,25.0,5.442027256538372,3.6625860366233525,2.9191003914751072,9.08282164686102,6.550006125349789,6.5933402835412735,2.5180225741718347,1.6347532511077227,5.303664881672087e-31,0.00045270794014081676
1060.0,7097196.867876405,25.0,5.440081717063536,3.662104930634238,2.919089833715919,9.082821483848598,6.550006125349789,6.5933402835412735,2.5180225741718347,1.6266230937603534,3.4517456165588547e-31,0.00037718932922641495
1070.0,7097196.867907504,25.0,5.433881993873832,3.6605709701812787,2.919057893026984,9.082820981764728,6.550006125349789,6.5933402835412735,2.4619122578132915,1.7669615923345856,2.2810893437319896e-31,0.00032146204812959575
1080.0,7097196.867932641,25.0,5.430326420658123,3.659690419158729,2.9190412084642308,9.08282060321943,6.550006125349789,6.5933402835412735,2.4619122578132915,1.768095670101907,6.238914168171665e-32,0.0007325341351393611
1090.0,7097196.867939917,25.0,5.428957635322511,3.6593506934829305,2.919036267148021,9.082820458166982,6.550006125349789,6.5933402835412735,2.4619122578132915,1.7681622307675382,1.6867194417666472e-31,0.0016178036697029436
1100.0,7097196.867942904,25.0,5.427938410774593,3.6590972717077097,2.9190334984245028,9.082820392627568,6.550006125349789,6.5933402835412735,2.4619122578132915,1.7690002202858828,2.618680140600603e-32,0.00258914901035185
1110.0,7097196.867944914,25.0,5.427152904528384,3.6589019012126003,2.9190314862916185,9.082820346571202,6.550006125349789,6.5933402835412735,2.4619122578132915,1.8370177672044252,2.194112604876666e-32,0.004343982487193971
1116.0,7097196.867945343,25.0,5.426266215827899,3.6586809915228375,2.9190299613209003,9.082820336551643,6.550006125349733,6.593340283541218,2.461912257813236,1.83701776720437,1.2383900222460127e-32,0.005917643055307154
