model_number,star_age,star_mass,log_L,log_Teff,log_R,center_h1,center_he4
1620.0,12402642801.510977,0.7467845273680794,3.1895125543643044,3.5073491443231806,2.1033168249884184,0.0,0.9800909780728045
1630.0,12402650862.849615,0.7461056105447597,3.190565298041983,3.5071974977802793,2.104146489913059,0.0,0.9800909676136518
1640.0,12402658812.215223,0.7454327267746261,3.191478720875198,3.5070679489697145,2.104862298950796,0.0,0.9800909570817964
1650.0,12402666667.93299,0.7447645928416182,3.192466031468361,3.506935796078191,2.1056202600304252,0.0,0.9800909464561361
1660.0,12402674539.482971,0.7440915739702362,3.1932092927463853,3.5068178944816495,2.10622769386252,0.0,0.9800909355869866
1670.0,12402682341.321568,0.7434213184201397,3.1940351157162428,3.5066955954132175,2.1068852034843126,0.0,0.9800909245894314
1680.0,12402690569.879938,0.7427107822501807,3.195548163174776,3.5064526641614275,2.1081275897171587,8.485455367721609e-41,0.9800909127416192
1690.0,12402698011.995165,0.742064923978555,3.1961197759492626,3.506358207357083,2.1086023097130906,0.0,0.9800909018025267
1700.0,12402705736.306335,0.7413912282248368,3.1971011620439773,3.506188685784152,2.1094320459063107,0.0,0.980090890217237
1710.0,12402713863.353521,0.7406786399179462,3.198521147340933,3.5059946040690813,2.1105302019849295,0.0,0.9800908777675884
1720.0,12402721526.582136,0.740003461703298,3.1995049694786513,3.505849633493795,2.1113120542043617,0.0,0.9800908657791628
1730.0,12402729235.371532,0.7393207076935401,3.2003696919725444,3.505696527234329,2.1120506279702407,0.0,0.9800908534690924
1740.0,12402736860.89257,0.7386421153491092,3.2013608492218366,3.505563885276558,2.11281149051043,0.0,0.9800908410391989
1750.0,12402744489.81255,0.7379596733923204,3.202063255170242,3.5054347709770415,2.1134209220836637,0.0,0.9800908283464184
1760.0,12402752067.79047,0.7372785615896547,3.202943929668416,3.505276756688428,2.114177287909978,0.0,0.9800908154773431
1770.0,12402759618.490221,0.7365965239341524,3.2038357544364424,3.505159172497706,2.114858368675436,0.0,0.9800908023898632
1780.0,12402767130.061407,0.7359147629007086,3.2047962260867258,3.5050149086627704,2.1156271321704487,0.0,0.9800907891018308
1790.0,12402774619.707893,0.7352316265323726,3.205712786053096,3.504867595495014,2.116380038489146,0.0,0.980090775580039
1800.0,12402782086.760916,0.7345472030750462,3.2066992923321505,3.5047131615636324,2.117182159491437,0.0,0.9800907618217517
1810.0,12402789524.345528,0.733862155359668,3.207810536398322,3.5045023481772266,2.1181594082973336,0.0,0.9800907478361022
1820.0,12402796944.992174,0.7331751903282379,3.2087452294725844,3.5043733986204804,2.1188846539479584,0.0,0.9800907335959589
1830.0,12402804326.207357,0.7324885915007836,3.2096917920647985,3.50423612724813,2.1196324779887648,0.0,0.9800907191410756
1840.0,12402811697.047728,0.7317995374224264,3.210472549070461,3.5040984198470504,2.1202982712937555,0.0,0.9800907044109821
1850.0,12402819038.362406,0.7311099496931863,3.211380780208337,3.5039554392703955,2.121038348016003,0.0,0.9800906894393031
1860.0,12402826354.206274,0.7304194239085329,3.2122838333499804,3.503810078800268,2.1217805955270808,0.0,0.9800906742142507
1870.0,12402833643.132292,0.7297280884671067,3.2132583991346273,3.5036603003002385,2.1225674354194624,0.0,0.9800906587350359
1880.0,12402841325.3032,0.7289957976024604,3.2147190667101975,3.5034438614067853,2.123730646994154,0.0,0.9800906420771941
1890.0,12402848573.999521,0.7283013891045378,3.215652249599209,3.5032971034207625,2.124490754410706,0.0,0.9800906260300367
1900.0,12402855926.633005,0.727593363396459,3.216626780280779,3.503121835477021,2.125328555638974,0.0,0.9800906094176333
1910.0,12402863179.596972,0.7268915025835252,3.217457040852326,3.5029884923137917,2.1260103722512063,0.0,0.9800905926921799
1920.0,12402870349.091887,0.7261945097540625,3.218387959720884,3.5028467456342187,2.126759325044632,0.0,0.9800905758211773
1930.0,12402877497.876299,0.7254961797797947,3.219316786359855,3.502691319876826,2.127534589878902,0.0,0.9800905586565837
1940.0,12402884658.602533,0.7247931554710527,3.2201021886665164,3.502556056201476,2.1281978183829318,0.0,0.9800905411129635
1950.0,12402891775.706385,0.7240910741835273,3.220915880694873,3.5024367525730358,2.1288432716539916,0.0,0.980090523320729
1960.0,12402898855.17331,0.7233894239855055,3.2218322403198485,3.5022754394148072,2.1296240777829363,0.0,0.980090505262651
1970.0,12402905914.96132,0.722686278053031,3.222646209628425,3.502140027111005,2.13030188704483,0.0,0.9800904868894877
1980.0,12402912958.144323,0.7219814686697055,3.2235529131279606,3.5019856234112603,2.1310640461940857,0.0,0.9800904681874911
1990.0,12402919982.02385,0.7212751603065813,3.2244014503066403,3.5018397508282373,2.1317800599494716,0.0,0.9800904491584477
2000.0,12402926970.259724,0.7205691114894359,3.225323077719774,3.501684902042685,2.132550571227144,0.0,0.9800904298423124
2010.0,12402933928.323149,0.7198627170359507,3.226200994962543,3.501547563891883,2.133264206150132,0.0,0.9800904102207786
2020.0,12402940997.802969,0.7191415252397187,3.227207535314232,3.5013840804145344,2.1340944432806728,0.0,0.9800903898787152
2030.0,12402947907.039873,0.7184333142412553,3.2281040701666925,3.5012348846773826,2.134841102181208,0.0,0.9800903695931223
2040.0,12402954686.351936,0.7177351093672589,3.2288464440863325,3.5011196822635355,2.1354426939687214,0.0,0.9800903492913634
2050.0,12402961967.734632,0.7169815202549834,3.230287173527567,3.500884271554663,2.1366338801070834,0.0,0.980090327035466
2060.0,12402968550.191751,0.7162970711885248,3.2307874125239597,3.500783604302772,2.137085334109062,0.0,0.9800903065085166
2070.0,12402975779.808651,0.7155414797922849,3.2321136438508797,3.5005913627933607,2.1381329327913448,0.0,0.9800902835032421
2080.0,12402982458.693169,0.7148403733922022,3.2329553095953467,3.5004442566317384,2.1388479779868232,0.0,0.9800902618154681
2090.0,12402989246.018951,0.7141243485384469,3.233841000952784,3.5002904908610084,2.139598355207002,0.0,0.9800902393365142
2100.0,12402996133.27412,0.7133941257094405,3.23477790558142,3.5001111988715805,2.1404253915001754,0.0,0.9800902160641329
2110.0,12403002958.558428,0.7126668572429281,3.235436789918967,3.4999925537551873,2.1409921239017353,0.0,0.980090192531621
2120.0,12403009694.693586,0.711945918132818,3.236336641316529,3.4998532642070823,2.1417206286967265,0.0,0.9800901688370336
2130.0,12403016391.569912,0.7112258003313483,3.237206172590513,3.4996848983405386,2.142492126066806,0.0,0.9800901448080186
2140.0,12403023075.044594,0.710503643887459,3.237955789433324,3.4995797657865517,2.1430771995961853,0.0,0.980090120346999
2150.0,12403029737.70122,0.7097804157832526,3.23885166884743,3.499418369202242,2.1438479324718567,0.0,0.9800900954736954
2160.0,12403036375.415033,0.709056469079546,3.239553078614097,3.49931534346487,2.144404688829934,0.0,0.9800900701981266
2170.0,12403042999.81004,0.708330637857231,3.2404272190106376,3.4991511866229743,2.1451700727119967,0.0,0.9800900444685996
2180.0,12403049603.23918,0.7076036597783778,3.241258270022544,3.4990140432191046,2.1458598850256885,0.0,0.9800900183077796
2190.0,12403056199.869122,0.7068740033972768,3.242130114784282,3.498845161135128,2.146633571574511,0.0,0.980089991650955
2200.0,12403062781.025421,0.7061426009570712,3.243025059554397,3.4987044592104644,2.147362447808895,0.0,0.9800899645241908
2210.0,12403069329.466276,0.7054114370435842,3.243888986802307,3.49857366854157,2.1480559927706397,0.0,0.9800899369929076
2220.0,12403075849.481483,0.7046800757340853,3.244700302767146,3.49840062905408,2.14880772972804,0.0,0.9800899090346789
